content_id,content_type,channel,media_type,content_length_words,posting_hour,day_of_week,past_engagement_rate,engagement_label
1,Email,Email,Text,190,10,Saturday,1.97,Low
2,Email,Email,Video,329,14,Saturday,1.02,Low
3,Email,Email,Text,161,17,Monday,1.9,Low
4,Email,Email,Video,416,16,Tuesday,4.4,High
5,Ad Creative,Instagram,Image,192,8,Friday,5.36,High
6,Social Media Post,Google Ads,Image,129,20,Wednesday,1.79,Low
7,Website Content,Website,Text,244,21,Monday,1.08,Low
8,Website Content,Website,Video,463,15,Wednesday,0.76,Low
9,Email,Email,Image,332,18,Monday,2.26,Medium
10,Website Content,Website,Video,410,18,Tuesday,0.92,Low
11,Social Media Post,Google Ads,Text,169,14,Sunday,5.7,High
12,Website Content,Website,Image,477,13,Saturday,2.69,Medium
13,Website Content,Website,Text,186,18,Saturday,4.71,High
14,Email,Email,Video,137,11,Saturday,3.7,Medium
15,Social Media Post,Google Ads,Image,377,11,Wednesday,4.63,High
16,Website Content,Website,Text,470,13,Tuesday,0.69,Low
17,Ad Creative,Google Ads,Text,340,13,Tuesday,5.76,High
18,Social Media Post,Google Ads,Image,284,10,Saturday,1.36,Low
19,Social Media Post,Google Ads,Video,269,14,Friday,5.89,High
20,Website Content,Website,Text,310,20,Tuesday,3.46,Medium
21,Email,Email,Text,371,18,Tuesday,1.46,Low
22,Ad Creative,Instagram,Image,355,16,Thursday,6.48,High
23,Website Content,Website,Video,55,9,Sunday,4.58,High
24,Website Content,Website,Video,107,10,Wednesday,2.26,Medium
25,Ad Creative,Instagram,Video,184,20,Saturday,6.33,High
26,Social Media Post,Instagram,Video,480,17,Wednesday,4.33,High
27,Social Media Post,Instagram,Image,132,20,Sunday,3.74,Medium
28,Email,Email,Video,300,22,Wednesday,0.62,Low
29,Website Content,Website,Image,79,17,Tuesday,1.95,Low
30,Email,Email,Text,298,20,Saturday,5.4,High
31,Social Media Post,Instagram,Video,331,16,Thursday,1.49,Low
32,Ad Creative,Instagram,Video,423,19,Sunday,4.64,High
33,Website Content,Website,Image,382,22,Saturday,2.74,Medium
34,Ad Creative,Instagram,Text,82,17,Tuesday,2.53,Medium
35,Social Media Post,Instagram,Text,412,11,Monday,4.29,High
36,Email,Email,Text,219,11,Sunday,0.93,Low
37,Website Content,Website,Video,159,19,Thursday,3.74,Medium
38,Ad Creative,Instagram,Image,258,9,Sunday,1.64,Low
39,Ad Creative,Google Ads,Image,289,8,Thursday,5.68,High
40,Email,Email,Text,422,21,Thursday,2.54,Medium
41,Email,Email,Text,147,10,Tuesday,3.72,Medium
42,Ad Creative,Instagram,Image,177,9,Thursday,5.75,High
43,Ad Creative,Instagram,Text,326,9,Saturday,5.52,High
44,Social Media Post,Instagram,Image,296,14,Thursday,1.78,Low
45,Email,Email,Text,51,12,Thursday,6.41,High
46,Ad Creative,Google Ads,Image,424,16,Saturday,6.47,High
47,Ad Creative,Instagram,Text,161,17,Wednesday,6.31,High
48,Email,Email,Video,79,15,Wednesday,0.8,Low
49,Social Media Post,Instagram,Video,485,17,Monday,1.61,Low
50,Email,Email,Video,170,22,Sunday,2.92,Medium
51,Social Media Post,Instagram,Video,264,17,Monday,4.44,High
52,Website Content,Website,Image,392,11,Tuesday,4.8,High
53,Website Content,Website,Image,393,15,Tuesday,4.37,High
54,Website Content,Website,Text,284,17,Monday,4.23,High
55,Email,Email,Text,159,10,Friday,3.54,Medium
56,Website Content,Website,Text,239,15,Tuesday,2.21,Medium
57,Website Content,Website,Video,384,18,Sunday,3.67,Medium
58,Website Content,Website,Video,499,9,Monday,1.31,Low
59,Email,Email,Video,129,17,Friday,2.13,Medium
60,Social Media Post,Google Ads,Text,374,16,Saturday,5.62,High
61,Ad Creative,Google Ads,Text,374,12,Monday,3.04,Medium
62,Email,Email,Text,444,12,Wednesday,1.28,Low
63,Social Media Post,Google Ads,Video,268,9,Saturday,3.87,Medium
64,Email,Email,Video,329,13,Tuesday,0.72,Low
65,Social Media Post,Google Ads,Text,207,22,Monday,2.69,Medium
66,Email,Email,Image,399,9,Tuesday,2.0,Low
67,Website Content,Website,Video,258,19,Sunday,6.34,High
68,Social Media Post,Instagram,Text,465,14,Sunday,1.56,Low
69,Email,Email,Text,220,14,Saturday,5.19,High
70,Social Media Post,Google Ads,Text,409,21,Sunday,1.15,Low
71,Email,Email,Image,152,15,Tuesday,5.4,High
72,Website Content,Website,Image,457,11,Sunday,5.73,High
73,Email,Email,Video,254,21,Tuesday,2.47,Medium
74,Email,Email,Image,378,18,Wednesday,3.56,Medium
75,Website Content,Website,Text,499,10,Monday,6.32,High
76,Website Content,Website,Text,355,19,Monday,3.11,Medium
77,Website Content,Website,Image,311,22,Friday,1.19,Low
78,Social Media Post,Google Ads,Text,273,22,Saturday,0.51,Low
79,Social Media Post,Google Ads,Image,390,17,Monday,6.02,High
80,Website Content,Website,Video,113,12,Sunday,4.82,High
81,Website Content,Website,Video,217,12,Thursday,2.91,Medium
82,Social Media Post,Instagram,Image,244,22,Saturday,4.56,High
83,Social Media Post,Google Ads,Image,476,12,Friday,0.5,Low
